id,author,Party,State,date,frame,stance,reasoning
1,AustinScottGA08,R,GA,Thu Sep 09 22:26:49 +0000 2021,mandate_rights,anti_vaccine,The tweet emphasizes personal choice and opposes government mandates regarding vaccination.
2,AustinScottGA08,R,GA,Thu Sep 09 22:26:49 +0000 2021,medical,pro_vaccine,The tweet emphasizes the safety and effectiveness of the COVID-19 vaccine based on personal experience.
3,AustinScottGA08,R,GA,Fri Jul 23 18:47:22 +0000 2021,other,mixed_or_unclear,The tweet provides a link for more information but does not express a clear stance on vaccines.
4,AustinScottGA08,R,GA,Thu Mar 25 13:43:15 +0000 2021,medical,pro_vaccine,"The tweet promotes access to the COVID-19 vaccine for eligible individuals, indicating support for vaccination."
5,BennieGThompson,D,MS,Thu Dec 09 15:13:31 +0000 2021,medical,pro_vaccine,The tweet discusses the ongoing study of the omicron variant and implies support for existing vaccines.
6,BennieGThompson,D,MS,Thu Sep 30 17:42:25 +0000 2021,medical,pro_vaccine,"The tweet emphasizes the safety and encourages vaccination, framing it in a positive medical context."
7,BennieGThompson,D,MS,Wed Sep 15 14:06:10 +0000 2021,medical,pro_vaccine,The tweet emphasizes the safety of the vaccine and encourages support against opposition.
8,BennieGThompson,D,MS,Mon Aug 23 15:01:52 +0000 2021,medical,pro_vaccine,"The tweet expresses approval of the Pfizer vaccine, indicating support for its safety and effectiveness."
9,BennieGThompson,D,MS,Thu Aug 05 13:25:58 +0000 2021,medical,pro_vaccine,"The tweet emphasizes the importance of discussing vaccines with healthcare providers, promoting accurate information and vaccination."
10,BennieGThompson,D,MS,Fri Jul 23 14:20:54 +0000 2021,medical,pro_vaccine,The tweet encourages vaccination and emphasizes the importance of getting vaccinated for public health.
11,BennieGThompson,D,MS,Fri Jul 16 15:51:33 +0000 2021,medical,pro_vaccine,The tweet emphasizes following expert medical advice and encourages vaccination.
12,BennieGThompson,D,MS,Thu Jul 15 15:53:08 +0000 2021,medical,pro_vaccine,The tweet emphasizes the importance of the vaccine for personal and public protection amid rising cases.
